variety_name,crop,segment,plant_characteristics,fruit_characteristics,resistance_codes,cultivation_environment,description,variety_names.country,variety_names.commercial_name,variety_names.registration_status
112-05,,,,,,,,Ireland,BYSONTE F1,Registered
112-05,,,,,,,,Italy,BYSONTE F1,Registered
112-05,,,,,,,,Latvia,BYSONTE F1,Registered
112-05,,,,,,,,Lithuania,BYSONTE F1,Registered
112-05,,,,,,,,Luxembourg,BYSONTE F1,Registered
112-05,,,,,,,,Malta,BYSONTE F1,Registered
112-05,,,,,,,,Netherlands,BYSONTE F1,Registered
112-05,,,,,,,,Poland,BYSONTE F1,Registered
112-05,,,,,,,,Portugal,BYSONTE F1,Registered
112-05,,,,,,,,Romania,BYSONTE F1,Registered
112-05,,,,,,,,Slovakia,BYSONTE F1,Registered
112-05,,,,,,,,Sierra Leone,BYSONTE F1,Registered
112-05,,,,,,,,Sweden,BYSONTE F1,Registered
112-05,,,,,,,,Morocco,BYSONTE F1,In Progress
112-101,Tomato,,"Indeterminate round loose tomato, very vigorous plant, very early.","Red color, round, firm, 170-190 gr, productive.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate round loose tomato, very vigorous plant, very early.
Fruit: Red color, round, firm, 170-190 gr, productive.
Cultivation: Autumn and spring seasons in greenhouse.",Iran,Y271 F1,In Progress
112-101,,,,,,,,Lebanon,NEW BELKIS,In Progress
112-101,,,,,,,,Albania,NAZAL F1,In Progress
112-101,,,,,,,,Australia,ADELAIDE F1,In Progress
112-101,,,,,,,,Azerbaijan,SERVAN F1,In Progress
112-101,,,,,,,,Belarus,,In Progress
112-101,,,,,,,,China,ENDOUR F1,In Progress
112-101,,,,,,,,Serbia,NAZAL F1,In Progress
112-101,,,,,,,,Iraq,SUMER F1,In Progress
112-101,,,,,,,,Iran,NAZAL F1,In Progress
112-101,,,,,,,,Iran,CAPITAN F1,Registered
112-101,,,,,,,,Kyrgyzstan,AM?NA F1,In Progress
112-101,,,,,,,,Kazakhstan,ARMAN F1,In Progress
112-101,,,,,,,,Lebanon,NAZAL F1,In Progress
112-101,,,,,,,,Morocco,NAZAL F1,In Progress
112-101,,,,,,,,Morocco,GALAXY F1,In Progress
112-101,,,,,,,,Turkmenistan,SE?L F1,In Progress
112-101,,,,,,,,Ukraine,,In Progress
112-101,,,,,,,,Uzbekistan,1955 F1,In Progress
112-101,,,,,,,,Kosovo,NAZAL F1,In Progress
112-101,,,,,,,,Cyprus,NAZAL F1,In Progress
112-101,,,,,,,,United Arab Emirates,112-101 F1,In Progress
112-101,,,,,,,,Spain,112-101 F1,In Progress
112-101,,,,,,,,Jordan,112-101 F1,In Progress
112-101,,,,,,,,France,GV561266 F1,In Progress
112-101,,,,,,,,Lebanon,NEW BELKIS F1,In Progress
112-101,,,,,,,,Afghanistan,CAPITAN F1,In Progress
112-101,,,,,,,,Oman,LEEN F1,In Progress
112-249,Tomato,,"Indeterminate loose tomato, vigorous plant, high yield.","Red color, globe, firm, 220 - 250 g, long shelf life.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, TSWV, Ma, Mi, Mj",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate loose tomato, vigorous plant, high yield.
Fruit: Red color, globe, firm, 220 - 250 g, long shelf life.
Cultivation: Autumn and spring seasons in greenhouse.",,,
112-334,Tomato,,"Indeterminate beef tomato, vigorous plant, mid-early.","Red color, flat, very firm, 250-270 g.","HR: ToMV, Vd,Va, Fol 0-1, For, Ff A-B /  IR:TYLCV, TSWV,Ma,
Mi, Mj",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate beef tomato, vigorous plant, mid-early.
Fruit: Red color, flat, very firm, 250-270 g.
Cultivation: Autumn and spring seasons in greenhouse.",Azerbaijan,ZKAN F1,In Progress
112-334,,,,,,,,Cyprus,NAMLI  F1,In Progress
112-334,,,,,,,,Bulgaria,ENKI F1,In Progress
112-334,,,,,,,,Austria,ENKI F1,In Progress
112-334,,,,,,,,Belgium,ENKI F1,In Progress
112-334,,,,,,,,Croatia,ENKI F1,In Progress
112-334,,,,,,,,Cyprus,ENKI F1,In Progress
112-334,,,,,,,,Czech Republic,ENKI F1,In Progress
112-334,,,,,,,,Denmark,ENKI F1,In Progress
112-334,,,,,,,,Estonia,ENKI F1,In Progress
112-334,,,,,,,,Finland,ENKI F1,In Progress
112-334,,,,,,,,France,ENKI F1,In Progress
112-334,,,,,,,,Germany,ENKI F1,In Progress
112-334,,,,,,,,Greece,ENKI F1,In Progress
112-334,,,,,,,,Hungary,ENKI F1,In Progress
112-334,,,,,,,,Ireland,ENKI F1,In Progress
112-334,,,,,,,,Italy,ENKI F1,In Progress
112-334,,,,,,,,Latvia,ENKI F1,In Progress
112-334,,,,,,,,Lithuania,ENKI F1,In Progress
112-334,,,,,,,,Luxembourg,ENKI F1,In Progress
112-334,,,,,,,,Malta,ENKI F1,In Progress
112-334,,,,,,,,Netherlands,ENKI F1,In Progress
112-334,,,,,,,,Poland,ENKI F1,In Progress
112-334,,,,,,,,Portugal,ENKI F1,In Progress
112-334,,,,,,,,Romania,ENKI F1,In Progress
112-334,,,,,,,,Slovakia,ENKI F1,In Progress
112-334,,,,,,,,Sierra Leone,ENKI F1,In Progress
112-334,,,,,,,,Spain,ENKI F1,In Progress
112-334,,,,,,,,Sweden,ENKI F1,In Progress
112-486,Tomato,,"Indeterminate oval tomato, very vigorous, mid-early.","Elongated oval, red color, firm, 130-140 g.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate oval tomato, very vigorous, mid-early.
Fruit: Elongated oval, red color, firm, 130-140 g.
Cultivation: Autumn and spring seasons in greenhouse.",Spain,GRANDOLY F1,In Progress
112-488,Tomato,,"Indeterminate oval tomato, strong plant, mid-early.","Oval-elongated, red color, firm, 160-180 g, productive.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, Ss",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate oval tomato, strong plant, mid-early.
Fruit: Oval-elongated, red color, firm, 160-180 g, productive.
Cultivation: Autumn and spring seasons in greenhouse.",Yemen,SUAD F1,In Progress
112-488,,,,,,,,China,ANOVEI F1,In Progress
112-488,,,,,,,,Argentina,AMILCAR F1,In Progress
112-492,Tomato,,"Indeterminate saladette loose tomato, vigorous plant.","Oval shape, very good red color, verm firm, 140-150 gr.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV, Ss",Autumn and spring seasons in greenhouse.,"Plant: Indeterminate saladette loose tomato, vigorous plant.
Fruit: Oval shape, very good red color, verm firm, 140-150 gr.
Cultivation: Autumn and spring seasons in greenhouse.",United Arab Emirates,SUPRIZ F1,In Progress
112-492,,,,,,,,Albania,PERADUR F1,In Progress
112-492,,,,,,,,Latvia,PERADUR F1,In Progress
112-492,,,,,,,,Kosovo,PERADUR F1,In Progress
112-492,,,,,,,,Cyprus,SPR?Z F1,In Progress
112-501,Tomato,,"Indeterminate Heirlom Tomato, very early, productive, short internodes.","Green to red color, flat , sliced, firm, 280-300 gr.","HR: ToMV, Vd, Va, Fol 0-1",Spring and autumn seasons in greenhouse.,"Plant: Indeterminate Heirlom Tomato, very early, productive, short internodes.
Fruit: Green to red color, flat , sliced, firm, 280-300 gr.
Cultivation: Spring and autumn seasons in greenhouse.",Australia,QUASIMODO F1,In Progress
112-501,,,,,,,,Canada,QUASIMODO F1,In Progress
112-501,,,,,,,,Mexico,QUASIMODO F1,In Progress
112-501,,,,,,,,Mexico,FOBOS F1,In Progress
112-501,,,,,,,,United States,QUASIMODO F1,In Progress
112-501,,,,,,,,Panama,QUASIMODO F1,In Progress
112-501,,,,,,,,Netherlands,TG8879 F1,In Progress
112-516,Tomato,,"Indeterminate round brown loose tomato, very early, vigorous plant, dark green leaves.","Brown color, round, firm, 150 ? 160 gr.","HR: ToMV, Va, Vd, Fol 0-1-2 / IR: TYLCV, TSWV, ToTV","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate round brown loose tomato, very early, vigorous plant, dark green leaves.
Fruit: Brown color, round, firm, 150 ? 160 gr.
Cultivation: Autumn, winter and spring seasons in greenhouse.",Azerbaijan,AQAT F1,In Progress
112-516,,,,,,,,Cyprus,?KO  F1,In Progress
112-516,,,,,,,,Panama,ESPRESSO F1,In Progress
112-516,,,,,,,,Brazil,LICO F1,In Progress
112-516,,,,,,,,Canada,ESPRESSO F1,In Progress
112-516,,,,,,,,Australia,PANTHER F1,In Progress
112-516,,,,,,,,Poland,LEYENDA F1,Registered
112-516,,,,,,,,Mexico,ESPRESSO F1,In Progress
112-516,,,,,,,,United States,ESPRESSO F1,In Progress
112-516,,,,,,,,China,ISRA F1,In Progress
112-516,,,,,,,,Canada,LICO F1,In Progress
112-516,,,,,,,,South Korea,LEYENDA F1,In Progress
112-516,,,,,,,,Russian Federation,LEYENDA F1,In Progress
112-567,Tomato,,"Indeterminate cluster cherry tomato, short internodes, dark green leaves, early.","Round, red color, 15-20 gr, good cluster shape,
non-cracking, productive.","HR: ToMV, Va, Vd, Fol 0-1, For
/ IR: TYLCV, Ma, Mi, Mj, ToBRFV","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate cluster cherry tomato, short internodes, dark green leaves, early.
Fruit: Round, red color, 15-20 gr, good cluster shape,
non-cracking, productive.
Cultivation: Autumn, winter and spring seasons in greenhouse.",Algeria,BAHIA F1,In Progress
112-567,,,,,,,,Brazil,KEDI F1,Registered
112-567,,,,,,,,India,FISHBONE F1,In Progress
112-567,,,,,,,,Iran,CELINE F1,Registered
112-567,,,,,,,,Spain,TOBFORTA F1,In Progress
112-589,Tomato,,"Indeterminate cocktail tomato, early, very vigorous plant, short internodes.","Red color, firm, 10-14 fruits per cluster, 45-50 g, perfect taste and aroma, suitable both for cluster and single harvest,long shelf life.","HR: ToMV, Vd, Va, Fol 0-1 / IR: TYLCV","Autumn, winter and spring seasons in greenhouse.","Plant: Indeterminate cocktail tomato, early, very vigorous plant, short internodes.
Fruit: Red color, firm, 10-14 fruits per cluster, 45-50 g, perfect taste and aroma, suitable both for cluster and single harvest,long shelf life.
Cultivation: Autumn, winter and spring seasons in greenhouse.",Mexico,MAI TAI,In Progress
112-589,,,,,,,,Belarus,AROMA F1,In Progress
112-589,,,,,,,,Mexico,AROMA F1,In Progress
112-589,,,,,,,,Ukraine,AROMA F1,In Progress
112-589,,,,,,,,Panama,MAI TAI,In Progress
112-589,,,,,,,,Azerbaijan,?NC? F1,In Progress
112-589,,,,,,,,China,HARRIET F1,In Progress
112-589,,,,,,,,Iran,AROMA F1,In Progress
112-589,,,,,,,,Iran,112-589 F1,In Progress
112-589,,,,,,,,Poland,MIAMOUR F1,Registered
112-589,,,,,,,,Cyprus,AROMA F1,In Progress
112-589,,,,,,,,Austria,MIAMOUR F1,Registered
112-589,,,,,,,,Belgium,MIAMOUR F1,Registered
112-589,,,,,,,,Bulgaria,MIAMOUR F1,Registered
112-589,,,,,,,,Croatia,MIAMOUR F1,Registered
112-589,,,,,,,,Cyprus,MIAMOUR F1,Registered
112-589,,,,,,,,Czech Republic,MIAMOUR F1,Registered
112-589,,,,,,,,Denmark,MIAMOUR F1,Registered
112-589,,,,,,,,Estonia,MIAMOUR F1,Registered
112-589,,,,,,,,Finland,MIAMOUR F1,Registered
112-589,,,,,,,,France,MIAMOUR F1,Registered
112-589,,,,,,,,Germany,MIAMOUR F1,Registered
112-589,,,,,,,,Greece,MIAMOUR F1,Registered
112-589,,,,,,,,Hungary,MIAMOUR F1,Registered
112-589,,,,,,,,Ireland,MIAMOUR F1,Registered
112-589,,,,,,,,Italy,MIAMOUR F1,Registered
112-589,,,,,,,,Latvia,MIAMOUR F1,Registered
112-589,,,,,,,,Lithuania,MIAMOUR F1,Registered
112-589,,,,,,,,Luxembourg,MIAMOUR F1,Registered
112-589,,,,,,,,Malta,MIAMOUR F1,Registered
112-589,,,,,,,,Netherlands,MIAMOUR F1,Registered
112-589,,,,,,,,Poland,MIAMOUR F1,Registered
112-589,,,,,,,,Portugal,MIAMOUR F1,Registered
112-589,,,,,,,,Romania,MIAMOUR F1,Registered
112-589,,,,,,,,Slovakia,MIAMOUR F1,Registered
112-589,,,,,,,,Sierra Leone,MIAMOUR F1,Registered
112-589,,,,,,,,Spain,MIAMOUR F1,Registered
112-589,,,,,,,,Sweden,MIAMOUR F1,Registered
112-589,,,,,,,,Iran,SHERIL F1,In Progress
112-589,,,,,,,,Japan,MIAMOUR F1,In Progress
112-589,,,,,,,,United States,MIAMOUR F1,In Progress
112-589,,,,,,,,Albania,AROMA F1,In Progress
112-589,,,,,,,,Serbia,MIAMOUR F1,In Progress
112-589,,,,,,,,Kosovo,AROMA F1,In Progress
112-589,,,,,,,,Albania,AROMA F1,Registered
112-589,,,,,,,,Uzbekistan,FERMAN F1,In Progress
112-589,,,,,,,,Russian Federation,AROMA F1,Registered
