ID,Customer Name,Customer Type,Territory,Website,Email Id,Mobile No,Is Internal Customer
Albasateen International For General Trading,Albasateen International For General Trading,Company,Kuwait,,nalkhatib@yukselseeds.com,96550480111,0
Agrovetsia Llc,Agrovetsia Llc,Company,Kyrgyzstan,,igulsoy@yukselseeds.com,+996 (772) 616868,0
Yuksel Tohum Polska Sp. Z O.O.,Yuksel Tohum Polska Sp. Z O.O.,Company,Latvia,www.yukselpolska.pl,bmajda@yukselseeds.com,48605959605,0
Suleiman Agricultural Company S.A.R.L.,Suleiman Agricultural Company S.A.R.L.,Company,Lebanon,,nalkhatib@yukselseeds.com,96171801616,0
Beralsania,Beralsania,Company,Libya,,habba@yukselseeds.com,+218 91 21 09 741,0
Yuksel Tohum Polska Sp. Z O.O.,Yuksel Tohum Polska Sp. Z O.O.,Company,Lithuania,www.yukselpolska.pl,bmajda@yukselseeds.com,48605959605,0
Gwg Sdn Bhd,Gwg Sdn Bhd,Company,Malaysia,,igulsoy@yukselseeds.com,+ 968 9 287 8773,0
Yuksel Mexico Sa,Yuksel Mexico Sa,Company,Mexico,,,523332554579,0
Kolomza Company Doo,Kolomza Company Doo,Company,Montenegro,,hkurt@yukselseeds.com,,0
Yuksel Seeds Maroc,Yuksel Seeds Maroc,Company,Morocco,,,+212 661 87 20 24,0
Yuksel Seeds BV,Yuksel Seeds BV,Company,Netherlands,,habba@yukselseeds.com,,0
South Pacific Seeds Sales (Nz) Ltd.,South Pacific Seeds Sales (Nz) Ltd.,Company,New Zealand,,,+64 9 239 0890,0
Dput Geotermika-Teh Export-Import Doo,Dput Geotermika-Teh Export-Import Doo,Company,North Macedonia,,hkurt@yukselseeds.com,+389 702 53024,0
Yuksel Seed Asia Pvt. Ltd.,Yuksel Seed Asia Pvt. Ltd.,Company,Pakistan,,,+92 300 865 5354,0
Altaqneyat Alzeraiea Co,Altaqneyat Alzeraiea Co,Company,Palestine State,,nalkhatib@yukselseeds.com,972 598 772 243,0
Yuksel Tohum Polska Sp. Z O.O.,Yuksel Tohum Polska Sp. Z O.O.,Company,Poland,,bmajda@yukselseeds.com,48605959605,0
Yuksel Semillas S.L.,Yuksel Semillas S.L.,Company,Portugal,,,+34 650 46 81 88,0
Arab Trading Co.,Arab Trading Co.,Company,Qatar,,nalkhatib@yukselseeds.com,+974 4 818055,0
Yuksel Adrisem,Yuksel Adrisem,Company,Romania,,hkurt@yukselseeds.com,,0
Agroks Ltd.,Agroks Ltd.,Company,Russia,,hkurt@yukselseeds.com,79287783703,0
Almuneef Company,Almuneef Company,Company,Saudi Arabia,,nalkhatib@yukselseeds.com,,0
Agrohemija Seed Doo,Agrohemija Seed Doo,Company,Serbia,,hkurt@yukselseeds.com,+381 64 8541791,0
Yuksel Tohum Polska Sp. Z O.O.,Yuksel Tohum Polska Sp. Z O.O.,Company,Slovakia,www.yukselpolska.pl,bmajda@yukselseeds.com,48605959605,0
Yuksel Tohum Polska Sp. Z O.O.,Yuksel Tohum Polska Sp. Z O.O.,Company,Slovenia,www.yukselpolska.pl,bmajda@yukselseeds.com,48605959605,0
Hygrotech,Hygrotech,Company,South Africa,https://hygrotech.co.za/,habba@yukselseeds.com,+2712 545 8000,0
Yuksel Semillas S.L.,Yuksel Semillas S.L.,Company,Spain,,,+34 650 46 81 88,0
Yuksel Tohum China,Yuksel Tohum China,Company,Taiwan,,igulsoy@yukselseeds.com,53180996865,0
Too Gerkez Group,Too Gerkez Group,Company,Tajikistan,,igulsoy@yukselseeds.com,77783486303,0
Masco S.A.R.L,Masco S.A.R.L,Company,Tunisia,,habba@yukselseeds.com,+216 98 42 63 92,0
Yuksel Tohum,Yuksel Tohum,Company,Turkey,,,,0
Ashyrgeldi Basimow,Ashyrgeldi Basimow,Company,Turkmenistan,,igulsoy@yukselseeds.com,,0
Leda N Ltd.,Leda N Ltd.,Company,Ukraine,www.leda-agro.com,hkurt@yukselseeds.com,+380 97 956 67 76,0
Beltrame & Cia Importadores,Beltrame & Cia Importadores,Company,Uruguay,www.beltrame.com.uy,info@yukselseeds.com,59894937067,0
Grow Seeds Tashkent Llc,Grow Seeds Tashkent Llc,Company,Uzbekistan,,igulsoy@yukselseeds.com,+998 97 401 54 54,0
Ferreagro Venezuela,Ferreagro Venezuela,Company,Venezuela,,mmuete@yukselseeds.com,584247394699,0
"Dong Tam Agricultural Import Export Co.,Ltd","Dong Tam Agricultural Import Export Co.,Ltd",Company,Vietnam,,igulsoy@yukselseeds.com,+84 (938) 452888,0
